country,field,disclosed_investment,estimated_investment
Malaysia,Media and Entertainment,2,7
Malta,Data and analytics,2,2735
Malta,Community and Lifestyle,2,2
Malta,Media and Entertainment,2,2
Malta,Software,2,2735
Malta,Other,2,5
Malta,Education,2,2
Malta,Gaming,2,2
Malta,Hardware,2,2
Malta,General purpose,2,2735
Mexico,Professional services,2,463
Mexico,Privacy and Security,2,31
Netherlands,Simulation,2,2
New Zealand,Education,2,18
New Zealand,Agriculture,2,7
New Zealand,Professional services,2,138
New Zealand,Consumer goods,2,5
New Zealand,Finance,2,8
Nigeria,Education,2,4
Norway,Media and Entertainment,2,11
Norway,Sports,2,9
Norway,Lending and Investments,2,2
Philippines,Information Technology,2,6
Portugal,Cyber Security,2,6
Qatar,Lending and Investments,2,3
Romania,Professional services,2,2
Romania,Media and Entertainment,2,3
Russia,Other,2,5
Russia,Manufacturing,2,28
Russia,Computer Vision,2,4
Saudi Arabia,Sports,2,62
Serbia,Energy and natural resources,2,2
Seychelles,Data and analytics,2,37
Seychelles,General purpose,2,37
Slovakia,Consumer goods,2,3
Slovakia,"Military, public safety and government",2,3
Slovakia,Navigation and mapping,2,3
Slovakia,Professional services,2,3
Slovenia,Hardware,2,2
Slovenia,Robotics,2,2
South Africa,Community and Lifestyle,2,54
South Africa,Navigation and mapping,2,54
South Africa,Transportation,2,56
South Africa,Real estate,2,125
Spain,Navigation and mapping,2,99
Sri Lanka,Education,2,2
Sweden,Cyber Security,2,2
Taiwan,Agriculture,2,16
Tunisia,"Mobile, platforms & Internet services",2,2
Turkey,Community and Lifestyle,2,7
Ukraine,Robotics,2,4
Ukraine,Manufacturing,2,3
Ukraine,Transportation,2,4
Uruguay,Energy and natural resources,2,2
Uruguay,Biotechnology,2,2
Uruguay,Healthcare and Life Sciences,2,5
Uzbekistan,All,2,3
Argentina,Agriculture,3,3
Argentina,Other,3,348
Argentina,Professional services,3,358
Bangladesh,Education,3,7
Belgium,Education,3,134
Brazil,Sports,3,6
Chile,Energy and natural resources,3,56
Colombia,Other,3,3
Colombia,Education,3,5
Croatia,"Sales, retail, commerce, marketing",3,3
Croatia,Consumer goods,3,4
Cyprus,Education,3,3
Cyprus,Computer Vision,3,5
Czechia,Education,3,3
Czechia,NLP,3,3
Denmark,Cyber Security,3,113
Denmark,Privacy and Security,3,113
Denmark,Computer Vision,3,8
Denmark,Simulation,3,3
Ecuador,Data and analytics,3,6
Ecuador,Software,3,6
Ecuador,Information Technology,3,3
Ecuador,General purpose,3,6
Egypt,Semiconductor,3,70
Egypt,Community and Lifestyle,3,4
Egypt,Information Technology,3,71
Estonia,Media and Entertainment,3,18
Estonia,Consumer goods,3,13
Finland,Navigation and mapping,3,499
Ghana,Software,3,23
Greece,Cyber Security,3,3
Iceland,Lending and Investments,3,4
Iceland,Professional services,3,4
Iceland,Education,3,3
Ireland,Energy and natural resources,3,69
Italy,Agriculture,3,10
Japan,Navigation and mapping,3,4
Jordan,All,3,5
Kenya,Sports,3,24
Lebanon,All,3,4
Lithuania,Other,3,5
Lithuania,Computer Vision,3,6
Malaysia,Facial Recognition,3,3
Malaysia,Real estate,3,7
Malaysia,NLP,3,10
Malaysia,Telecommunications,3,3
Mexico,Consumer goods,3,10
New Zealand,Manufacturing,3,76
Nigeria,Consumer goods,3,6
Nigeria,Cyber Security,3,7
Nigeria,"Military, public safety and government",3,6
Norway,Community and Lifestyle,3,3
Norway,Education,3,63
Oman,Transportation,3,3
Oman,Community and Lifestyle,3,3
Oman,Software,3,3
Pakistan,Media and Entertainment,3,3
Pakistan,"Sales, retail, commerce, marketing",3,8
Poland,Community and Lifestyle,3,5
Poland,Media and Entertainment,3,5
Portugal,Manufacturing,3,14
Romania,Energy and natural resources,3,3
Romania,Robotics,3,3
Romania,"Sales, retail, commerce, marketing",3,7
Romania,"Military, public safety and government",3,3
Romania,Consumer goods,3,3
Russia,Community and Lifestyle,3,3
Russia,Professional services,3,4
Saint Kitts and Nevis,All,3,4
Saudi Arabia,Energy and natural resources,3,49
Saudi Arabia,Biotechnology,3,3
Seychelles,Software,3,38
Seychelles,Finance,3,38
Singapore,Telecommunications,3,5248
Spain,Speech Recognition,3,1044
Spain,Simulation,3,3
Spain,Telecommunications,3,225
Spain,Sports,3,219
Sri Lanka,Gaming,3,3
Sri Lanka,Robotics,3,3
Switzerland,Gaming,3,3
Switzerland,Lending and Investments,3,569
Tajikistan,General purpose,3,4
Tajikistan,Software,3,4
Tajikistan,Data and analytics,3,4
Thailand,Biotechnology,3,3
Tunisia,"Sales, retail, commerce, marketing",3,3
Turkey,Robotics,3,3
Turkey,Lending and Investments,3,3
Ukraine,Hardware,3,11
Ukraine,Finance,3,4
United Arab Emirates,Gaming,3,9
United Arab Emirates,Education,3,12
Uruguay,Information Technology,3,103
Vietnam,Privacy and Security,3,5
Vietnam,Biotechnology,3,3
Argentina,"Mobile, platforms & Internet services",4,360
Armenia,Software,4,8
Armenia,Media and Entertainment,4,5
Armenia,General purpose,4,8
Armenia,Data and analytics,4,8
Armenia,Information Technology,4,5
Australia,Lending and Investments,4,425
Bangladesh,Data and analytics,4,16
Bangladesh,General purpose,4,16
Brazil,"Military, public safety and government",4,4
Bulgaria,"Sales, retail, commerce, marketing",4,5
Chile,NLP,4,5
Chile,Finance,4,6
Chile,Professional services,4,7
Colombia,Consumer goods,4,4
Croatia,Hardware,4,4
Croatia,Information Technology,4,364
Czechia,Gaming,4,7
Czechia,Robotics,4,12
Czechia,Manufacturing,4,9
Denmark,Consumer goods,4,97
Egypt,Hardware,4,73
Egypt,Professional services,4,6
Estonia,Transportation,4,24
Estonia,Robotics,4,4
Hungary,NLP,4,5
Hungary,Real estate,4,4
India,Cyber Security,4,82
Ireland,Telecommunications,4,4
Ireland,Speech Recognition,4,63
Ireland,Navigation and mapping,4,46
Italy,Sports,4,6
Japan,Simulation,4,4
Japan,Facial Recognition,4,12
Kenya,"Mobile, platforms & Internet services",4,41
Kuwait,Professional services,4,4
Kuwait,Transportation,4,4
Kuwait,Data and analytics,4,11
Kuwait,Software,4,11
Kuwait,General purpose,4,11
Kuwait,Robotics,4,4
Kuwait,Hardware,4,4
Latvia,General purpose,4,6
Latvia,Data and analytics,4,6
Lithuania,Hardware,4,10
Malaysia,Transportation,4,12
Mexico,Education,4,7
Netherlands,Telecommunications,4,20
Netherlands,Sports,4,631
New Zealand,Computer Vision,4,9
New Zealand,Media and Entertainment,4,11
Norway,Cyber Security,4,8
Oman,All,4,4
Pakistan,Information Technology,4,11
Peru,Education,4,4
Poland,Telecommunications,4,6
Portugal,Community and Lifestyle,4,21
Qatar,"Sales, retail, commerce, marketing",4,5
Romania,Cyber Security,4,4
Saudi Arabia,Education,4,85
Serbia,Data and analytics,4,47
Serbia,"Sales, retail, commerce, marketing",4,4
Serbia,Media and Entertainment,4,4
South Africa,Biotechnology,4,4
South Africa,Robotics,4,56
Sri Lanka,"Mobile, platforms & Internet services",4,4
Sri Lanka,Media and Entertainment,4,4
Sweden,NLP,4,22
Thailand,"Mobile, platforms & Internet services",4,6
Tunisia,Software,4,6
Tunisia,General purpose,4,5
Tunisia,Data and analytics,4,5
Turkey,Media and Entertainment,4,10
Turkey,Education,4,5
Ukraine,Information Technology,4,420
United Arab Emirates,Manufacturing,4,19
Vietnam,Lending and Investments,4,6
Bangladesh,Software,5,16
Brazil,Biotechnology,5,9
Bulgaria,"Mobile, platforms & Internet services",5,8
Bulgaria,Information Technology,5,52
Chile,Hardware,5,81
Colombia,"Mobile, platforms & Internet services",5,7
Cyprus,Manufacturing,5,6
Cyprus,Biotechnology,5,6
Czechia,Community and Lifestyle,5,23
Czechia,Consumer goods,5,23
Denmark,Community and Lifestyle,5,11
Germany,Simulation,5,250
Hungary,Education,5,7
Iceland,Healthcare and Life Sciences,5,5
Japan,Cyber Security,5,6
Kazakhstan,General purpose,5,6
Lithuania,"Sales, retail, commerce, marketing",5,15
Luxembourg,Finance,5,12
Malta,All,5,2738
Netherlands,Navigation and mapping,5,41
Norway,Transportation,5,7
Norway,Privacy and Security,5,9
Panama,Other,5,5
Panama,"Mobile, platforms & Internet services",5,5
Peru,Software,5,9
Peru,General purpose,5,9
Peru,Data and analytics,5,9
Poland,Energy and natural resources,5,34
Qatar,Other,5,6
Romania,Real estate,5,7
Romania,Education,5,9
Russia,Transportation,5,30
Seychelles,All,5,65
Singapore,"Military, public safety and government",5,26
Slovenia,"Mobile, platforms & Internet services",5,5
Slovenia,Computer Vision,5,5
Slovenia,Agriculture,5,5
South Africa,Education,5,22
Spain,"Military, public safety and government",5,46
Sri Lanka,"Sales, retail, commerce, marketing",5,5
Sri Lanka,Hardware,5,5
Sweden,Sports,5,2373
Taiwan,Community and Lifestyle,5,28
Tunisia,Information Technology,5,5
Turkey,Telecommunications,5,5
Turkey,Gaming,5,7
Ukraine,"Sales, retail, commerce, marketing",5,7
United Arab Emirates,Computer Vision,5,8
United Arab Emirates,Consumer goods,5,5
Australia,Facial Recognition,6,12
Austria,Education,6,10
Belgium,Semiconductor,6,6
Brazil,Robotics,6,18
Bulgaria,Transportation,6,6
Canada,Simulation,6,966
Canada,Sports,6,57
Chile,Transportation,6,9
Chile,Education,6,7
Colombia,Hardware,6,8
Colombia,Professional services,6,13
Egypt,Finance,6,14
France,Simulation,6,63
Greece,Media and Entertainment,6,6
Hungary,Robotics,6,9
Hungary,Professional services,6,6
Iceland,Privacy and Security,6,10
India,Sports,6,110
Ireland,Robotics,6,108
Luxembourg,Community and Lifestyle,6,6
Luxembourg,Privacy and Security,6,6
Malaysia,Community and Lifestyle,6,10
Mexico,Other,6,40
Nigeria,Media and Entertainment,6,7
Nigeria,"Sales, retail, commerce, marketing",6,15
Pakistan,Data and analytics,6,14
Pakistan,Software,6,16
Pakistan,General purpose,6,14
Peru,All,6,10
Philippines,Other,6,6
Poland,Real estate,6,54
Poland,"Military, public safety and government",6,6
Portugal,Gaming,6,15
Portugal,Media and Entertainment,6,145
Portugal,Sports,6,17
Qatar,Finance,6,7
Qatar,General purpose,6,7
Qatar,Data and analytics,6,7
South Africa,Healthcare and Life Sciences,6,13
South Korea,Lending and Investments,6,30
Sweden,Lending and Investments,6,9
Switzerland,NLP,6,6
Tajikistan,All,6,8
Turkey,Agriculture,6,9
Australia,Speech Recognition,7,7
Austria,Navigation and mapping,7,16
Austria,"Military, public safety and government",7,9
Belgium,Consumer goods,7,139
Brazil,Manufacturing,7,56
Bulgaria,Other,7,7
Chile,"Mobile, platforms & Internet services",7,9
Chile,Healthcare and Life Sciences,7,12
Czechia,Sports,7,10
Estonia,"Sales, retail, commerce, marketing",7,11
Estonia,Agriculture,7,14
Greece,"Sales, retail, commerce, marketing",7,7
Hungary,Consumer goods,7,7
Italy,Gaming,7,7
Italy,Community and Lifestyle,7,18
Italy,"Military, public safety and government",7,9
Italy,Real estate,7,102
Kenya,Healthcare and Life Sciences,7,30
Kuwait,All,7,16
Lithuania,Healthcare and Life Sciences,7,15
Luxembourg,Consumer goods,7,9
Luxembourg,Hardware,7,7
Malaysia,Healthcare and Life Sciences,7,8
Nigeria,Privacy and Security,7,10
Norway,Biotechnology,7,24
Norway,Navigation and mapping,7,7
Poland,Cyber Security,7,32
Portugal,Energy and natural resources,7,22
Romania,Privacy and Security,7,7
Romania,Hardware,7,14
Russia,Energy and natural resources,7,7
Switzerland,Telecommunications,7,11
Thailand,Manufacturing,7,22
Thailand,Healthcare and Life Sciences,7,7
United Arab Emirates,Healthcare and Life Sciences,7,205
United Arab Emirates,Media and Entertainment,7,24
Uruguay,"Sales, retail, commerce, marketing",7,7
Vietnam,"Sales, retail, commerce, marketing",7,10
Argentina,Privacy and Security,8,8
Argentina,Finance,8,10
Austria,Manufacturing,8,295
Brazil,Energy and natural resources,8,17
Chile,"Sales, retail, commerce, marketing",8,12
Czechia,Healthcare and Life Sciences,8,71
Denmark,Transportation,8,279
Egypt,"Sales, retail, commerce, marketing",8,11
Estonia,Education,8,20
Finland,Agriculture,8,8
Finland,Consumer goods,8,546
France,Speech Recognition,8,8
Hungary,Other,8,9
Kazakhstan,Data and analytics,8,10
Nigeria,Lending and Investments,8,9
Portugal,Consumer goods,8,100
Romania,Finance,8,11
South Korea,Gaming,8,15
Taiwan,Media and Entertainment,8,70
Turkey,Manufacturing,8,11
Turkey,Healthcare and Life Sciences,8,15
United Arab Emirates,Energy and natural resources,8,152
Argentina,Biotechnology,9,9
Argentina,Healthcare and Life Sciences,9,11
Belgium,Biotechnology,9,270
Belgium,Media and Entertainment,9,452
Belgium,NLP,9,143
Brazil,Computer Vision,9,100
Colombia,"Sales, retail, commerce, marketing",9,14
Colombia,Energy and natural resources,9,53
Egypt,Other,9,14
Iceland,Finance,9,10
India,"Military, public safety and government",9,78
Italy,Navigation and mapping,9,104
Japan,Agriculture,9,22
Japan,Sports,9,27
Luxembourg,Energy and natural resources,9,11
Mexico,Media and Entertainment,9,9
Netherlands,Education,9,266
Nigeria,"Mobile, platforms & Internet services",9,13
Norway,NLP,9,63
Norway,Computer Vision,9,11
Poland,Gaming,9,11
Poland,Computer Vision,9,31
Qatar,Transportation,9,10
Slovakia,Manufacturing,9,10
Taiwan,Robotics,9,14
Taiwan,Education,9,41
United Arab Emirates,Lending and Investments,9,620
Uruguay,Data and analytics,9,114
Uruguay,General purpose,9,114
Uruguay,Software,9,115
Austria,Lending and Investments,10,10
Colombia,Transportation,10,14
Ecuador,All,10,15
Ghana,Lending and Investments,10,10
Greece,Privacy and Security,10,10
Hungary,Media and Entertainment,10,11
Iceland,Information Technology,10,14
Nigeria,Hardware,10,13
Panama,Finance,10,11
Poland,Privacy and Security,10,35
Poland,Manufacturing,10,83
Portugal,Computer Vision,10,25
Saudi Arabia,Media and Entertainment,10,12
Singapore,Speech Recognition,10,14
Slovakia,Transportation,10,12
Slovakia,Telecommunications,10,32
Slovakia,"Mobile, platforms & Internet services",10,33
Slovakia,Other,10,32
Sweden,Navigation and mapping,10,19
Tunisia,All,10,11
Turkey,Transportation,10,14
Vietnam,NLP,10,10
Austria,Robotics,11,12
Austria,Simulation,11,12
Chile,Information Technology,11,117
China (mainland),"Military, public safety and government",11,148
Denmark,Real estate,11,104
Estonia,Other,11,42
Germany,Gaming,11,14
Iceland,Other,11,13
Italy,Education,11,112
Italy,Computer Vision,11,16
Kazakhstan,Software,11,13
Netherlands,Speech Recognition,11,15
New Zealand,Privacy and Security,11,14
New Zealand,"Sales, retail, commerce, marketing",11,71
Poland,Other,11,96
Russia,"Mobile, platforms & Internet services",11,12
Russia,Facial Recognition,11,11
Spain,Agriculture,11,1043
Spain,Gaming,11,17
Switzerland,Semiconductor,11,36
Turkey,Computer Vision,11,14
United Arab Emirates,Real estate,11,32
Vietnam,"Mobile, platforms & Internet services",11,25
Argentina,Information Technology,12,370
Australia,NLP,12,23
Estonia,Energy and natural resources,12,37
France,Lending and Investments,12,12
Germany,Sports,12,20
Hungary,Biotechnology,12,16
Indonesia,Professional services,12,274
Kazakhstan,Information Technology,12,13
Pakistan,All,12,30
Portugal,Real estate,12,116
Portugal,NLP,12,14
Saudi Arabia,Agriculture,12,14
Singapore,Sports,12,17
Slovakia,Hardware,12,35
South Africa,Agriculture,12,12
South Korea,Cyber Security,12,18
Switzerland,Education,12,38
Taiwan,Biotechnology,12,71
Argentina,Software,13,935
Austria,Consumer goods,13,61
Bulgaria,Data and analytics,13,67
Colombia,Finance,13,16
Denmark,Finance,13,221
Ghana,Finance,13,29
Hungary,Healthcare and Life Sciences,13,17
Hungary,Transportation,13,16
Israel,Facial Recognition,13,15
Italy,Telecommunications,13,14
New Zealand,Gaming,13,163
Nigeria,Information Technology,13,22
Poland,Consumer goods,13,35
Qatar,Software,13,16
Russia,Hardware,13,20
Russia,"Sales, retail, commerce, marketing",13,34
Saudi Arabia,Professional services,13,782
Slovakia,"Sales, retail, commerce, marketing",13,37
South Africa,Manufacturing,13,143
Sweden,Computer Vision,13,32
Taiwan,Energy and natural resources,13,20
Albania,Media and Entertainment,14,19
Albania,"Mobile, platforms & Internet services",14,19
Albania,"Sales, retail, commerce, marketing",14,19
Albania,All,14,19
Belgium,Agriculture,14,145
Belgium,Lending and Investments,14,16
Bulgaria,General purpose,14,69
Czechia,Other,14,35
Finland,Energy and natural resources,14,23
Greece,Information Technology,14,68
Hungary,Computer Vision,14,17
India,Biotechnology,14,64
Latvia,Hardware,14,14
Latvia,Consumer goods,14,14
New Zealand,Healthcare and Life Sciences,14,338
South Korea,Sports,14,97
Spain,Robotics,14,40
Sri Lanka,Information Technology,14,14
Sweden,Agriculture,14,29
Switzerland,Navigation and mapping,14,167
United Arab Emirates,Community and Lifestyle,14,48
Bangladesh,All,15,29
Colombia,Information Technology,15,22
Egypt,Data and analytics,15,94
Egypt,General purpose,15,93
Hungary,"Sales, retail, commerce, marketing",15,16
Latvia,Information Technology,15,17
Panama,Software,15,16
Panama,General purpose,15,16
Panama,Data and analytics,15,16
Panama,All,15,17
Portugal,Biotechnology,15,31
Portugal,"Mobile, platforms & Internet services",15,161
Romania,Other,15,17
Slovakia,Finance,15,15
Spain,Lending and Investments,15,85
Taiwan,Computer Vision,15,38
Thailand,Finance,15,18
Turkey,Biotechnology,15,16
United Arab Emirates,Privacy and Security,15,17
Brazil,Consumer goods,16,41
Denmark,Education,16,100
Finland,Media and Entertainment,16,405
Iceland,Hardware,16,16
Indonesia,Finance,16,38
Portugal,Healthcare and Life Sciences,16,199
Saudi Arabia,Healthcare and Life Sciences,16,303
South Korea,Agriculture,16,84
Spain,Transportation,16,74
Spain,Consumer goods,16,47
Turkey,Other,16,20
Turkey,Professional services,16,27
Argentina,General purpose,17,938
Belgium,Robotics,17,17
Chile,Other,17,22
Finland,Computer Vision,17,54
Finland,Professional services,17,1392
Finland,Finance,17,2000
Iceland,Manufacturing,17,17
Israel,Education,17,24
Portugal,Professional services,17,38
Portugal,Transportation,17,25
Russia,Healthcare and Life Sciences,17,133
Russia,Information Technology,17,151
Slovakia,Energy and natural resources,17,17
South Africa,Consumer goods,17,17
South Korea,"Military, public safety and government",17,37
Spain,Education,17,2057
Sri Lanka,Data and analytics,17,18
Taiwan,Professional services,17,81
Turkey,Energy and natural resources,17,18
Turkey,Cyber Security,17,17
Argentina,Data and analytics,18,941
Austria,Other,18,187
Brazil,Lending and Investments,18,139
Bulgaria,Software,18,76
Cyprus,Information Technology,18,18
Cyprus,Other,18,20
Czechia,"Mobile, platforms & Internet services",18,150
Estonia,Manufacturing,18,18
Hungary,Information Technology,18,39
Ireland,"Military, public safety and government",18,33
Latvia,Software,18,24
Mexico,Healthcare and Life Sciences,18,23
Poland,Sports,18,19
Poland,NLP,18,58
Poland,Professional services,18,185
Russia,Finance,18,18
Saudi Arabia,Consumer goods,18,41
Spain,Cyber Security,18,186
Sri Lanka,Software,18,18
Sri Lanka,General purpose,18,18
Sweden,Privacy and Security,18,24
Turkey,Consumer goods,18,20
Austria,Energy and natural resources,20,197
Belize,Software,20,30
Belize,Other,20,20
Belize,Agriculture,20,20
Belize,Data and analytics,20,30
Belize,Finance,20,20
Belize,General purpose,20,30
Belize,All,20,30
Cyprus,Gaming,20,22
Cyprus,Community and Lifestyle,20,22
Cyprus,Healthcare and Life Sciences,20,22
Indonesia,Other,20,58
Malaysia,Computer Vision,20,41
Malaysia,Manufacturing,20,48
Netherlands,Transportation,20,519
Philippines,Lending and Investments,20,27
Philippines,"Mobile, platforms & Internet services",20,23
Poland,Biotechnology,20,23
Singapore,NLP,20,144
Slovenia,Healthcare and Life Sciences,20,20
Belgium,Transportation,22,22
Cyprus,Sports,22,24
Cyprus,"Sales, retail, commerce, marketing",22,58
Estonia,Professional services,22,34
France,Agriculture,22,51
Hungary,Hardware,22,27
Ireland,Computer Vision,22,85
Israel,Lending and Investments,22,611
Italy,Transportation,22,22
Kazakhstan,All,22,24
Lithuania,Data and analytics,22,45
Mauritius,Real estate,22,34
Mauritius,General purpose,22,111
Mauritius,Software,22,111
Mauritius,Data and analytics,22,111
Netherlands,NLP,22,40
Romania,"Mobile, platforms & Internet services",22,31
Singapore,Real estate,22,31
Spain,Computer Vision,22,186
Sweden,Consumer goods,22,22
Sweden,Biotechnology,22,33
Czechia,Professional services,27,308
Italy,Consumer goods,27,32
Romania,Information Technology,27,41
Romania,Healthcare and Life Sciences,27,27
Saudi Arabia,Transportation,27,147
Slovenia,Software,27,28
Slovenia,General purpose,27,27
Slovenia,Data and analytics,27,27
Sri Lanka,All,27,27
Taiwan,Finance,27,88
Ukraine,General purpose,27,446
Ukraine,Media and Entertainment,27,30
Ukraine,Data and analytics,27,445
